date,value
2026-05-15,345.396
2026-05-16,350.625
2026-05-17,350.667
2026-05-18,332.021
2026-05-19,411.313
2026-05-20,308.76
2026-05-21,397.26
2026-05-22,401.208
2026-05-23,399.146
2026-05-24,350.344
2026-05-25,349.917
2026-05-26,276.406
2026-05-27,221.927
2026-05-28,218.24
2026-05-29,217.99
2026-05-30,221.115
2026-05-31,109.757
2026-06-01,199.893
2026-06-02,218.063
2026-06-03,212.469
2026-06-04,210.594
2026-06-05,220.479
2026-06-06,221.292
2026-06-07,220.99
2026-06-08,221.031
2026-06-09,221.229
2026-06-10,105.581
2026-06-11,45.118
2026-06-12,41.883
2026-06-13,42.008
2026-06-14,42.383
2026-06-15,42.367
2026-06-16,87.402
2026-06-17,379.846
2026-06-18,401.125
2026-06-19,399
2026-06-20,398.479
2026-06-21,398.542
2026-06-22,397.854
2026-06-23,429.125
2026-06-24,431.156
2026-06-25,430.313
2026-06-26,431.854
2026-06-27,432.042
2026-06-28,432.438
2026-06-29,486.396
2026-06-30,489.521
2026-07-01,537.667
2026-07-02,547.604
2026-07-03,546
2026-07-04,441.958
2026-07-05,427.021
2026-07-06,523.969
2026-07-07,549.104
2026-07-08,547.458
2026-07-09,548.458
2026-07-10,545.75
2026-07-11,440.177
2026-07-12,434.688
2026-07-13,393.722
2026-07-14,551.146
2026-07-15,547.354
2026-07-16,547.542
2026-07-17,550.083
2026-07-18,435.344
2026-07-19,430.854
2026-07-20,553.885
2026-07-21,555.729
2026-07-22,554.458
2026-07-23,551.667
2026-07-24,456.469
2026-07-25,432.146
2026-07-26,433.167
2026-07-27,546.406
2026-07-28,550.667
2026-07-29,552.208
2026-07-30,550.563
2026-07-31,551.063
2026-08-01,441.385
2026-08-02,431.667
2026-08-03,536.76
2026-08-04,544.521
2026-08-05,544.583
2026-08-06,545.646
2026-08-07,546.542
2026-08-08,547.583
2026-08-09,539.688
2026-08-10,542.229
2026-08-11,548.25
2026-08-12,504.219
2026-08-13,547.708
2026-08-14,549.208
2026-08-15,457.323
2026-08-16,464.385
2026-08-17,432.333
2026-08-18,479.521
2026-08-19,480.958
2026-08-20,498.396
2026-08-21,545.896
2026-08-22,545.021
2026-08-23,538.125
2026-08-24,518.458
2026-08-25,468.354
2026-08-26,502.292
2026-08-27,502.896
2026-08-28,502.208
2026-08-29,488.5
2026-08-30,487.208
2026-08-31,518.729
2026-09-01,378.573
2026-09-02,375.021
2026-09-03,NA
