date,q_cfs
2026-05-15,159.49
2026-05-16,137.875
2026-05-17,123.493
2026-05-18,92.745
2026-05-19,73.158
2026-05-20,61.956
2026-05-21,55.479
2026-05-22,54.769
2026-05-23,56.367
2026-05-24,56.631
2026-05-25,76.3
2026-05-26,114.875
2026-05-27,196.218
2026-05-28,218.313
2026-05-29,259.1
2026-05-30,228.578
2026-05-31,187.272
2026-06-01,154.771
2026-06-02,167.348
2026-06-03,185.062
2026-06-04,176.638
2026-06-05,174.82
2026-06-06,180.903
2026-06-07,170.711
2026-06-08,156.262
2026-06-09,142.581
2026-06-10,122.036
2026-06-11,112.031
2026-06-12,96.05
2026-06-13,96.327
2026-06-14,93.246
2026-06-15,86.073
2026-06-16,82.33
2026-06-17,75.659
2026-06-18,75.29
2026-06-19,67.482
2026-06-20,61.815
2026-06-21,59.201
2026-06-22,55.397
2026-06-23,51.299
2026-06-24,48.096
2026-06-25,50.351
2026-06-26,51.017
2026-06-27,47.658
2026-06-28,44.223
2026-06-29,39.701
2026-06-30,35.617
2026-07-01,32.112
2026-07-02,29.212
2026-07-03,27.072
2026-07-04,26.216
2026-07-05,25.311
2026-07-06,24.304
2026-07-07,23.779
2026-07-08,23.177
2026-07-09,25.019
2026-07-10,24.862
2026-07-11,22.312
2026-07-12,20.976
2026-07-13,20.28
2026-07-14,20.048
2026-07-15,19.693
2026-07-16,19.336
2026-07-17,18.806
2026-07-18,17.661
2026-07-19,17.098
2026-07-20,19.809
2026-07-21,19.407
2026-07-22,16.658
2026-07-23,20.514
2026-07-24,29.627
2026-07-25,21.74
2026-07-26,19.29
2026-07-27,18.219
2026-07-28,18.13
2026-07-29,18.25
2026-07-30,18.391
2026-07-31,16.544
2026-08-01,14.767
2026-08-02,13.621
2026-08-03,12.832
2026-08-04,10.876
2026-08-05,8.854
2026-08-06,8.116
2026-08-07,7.733
2026-08-08,7.304
2026-08-09,7.092
2026-08-10,7.058
2026-08-11,6.835
2026-08-12,6.669
2026-08-13,7.656
2026-08-14,7.621
2026-08-15,7.778
2026-08-16,7.329
2026-08-17,6.991
2026-08-18,6.735
2026-08-19,7.629
2026-08-20,7.279
2026-08-21,6.761
2026-08-22,6.624
2026-08-23,6.837
2026-08-24,6.738
2026-08-25,7.213
2026-08-26,7.183
2026-08-27,6.543
2026-08-28,6.269
2026-08-29,6.236
2026-08-30,6.466
2026-08-31,8.949
2026-09-01,10.647
2026-09-02,9.336
2026-09-03,8.617
2026-09-04,8.086
2026-09-05,7.828
NA,NA
