date,q_cfs
2026-05-15,213.467
2026-05-16,188.001
2026-05-17,177.707
2026-05-18,144.542
2026-05-19,127.135
2026-05-20,113.573
2026-05-21,99.303
2026-05-22,96.617
2026-05-23,91.492
2026-05-24,89.905
2026-05-25,117.884
2026-05-26,164.959
2026-05-27,214.776
2026-05-28,235.827
2026-05-29,268.199
2026-05-30,249.952
2026-05-31,207.29
2026-06-01,182.809
2026-06-02,204.857
2026-06-03,211.196
2026-06-04,196.361
2026-06-05,188.285
2026-06-06,194.989
2026-06-07,191.935
2026-06-08,178.603
2026-06-09,166.991
2026-06-10,146.103
2026-06-11,133.201
2026-06-12,118.175
2026-06-13,119.641
2026-06-14,117.846
2026-06-15,113.243
2026-06-16,112.426
2026-06-17,108.874
2026-06-18,107.836
2026-06-19,97.597
2026-06-20,90.449
2026-06-21,86.059
2026-06-22,78.213
2026-06-23,69.39
2026-06-24,63.644
2026-06-25,73.115
2026-06-26,77.757
2026-06-27,66.65
2026-06-28,59.594
2026-06-29,53.72
2026-06-30,48.003
2026-07-01,43.657
2026-07-02,40.018
2026-07-03,37.401
2026-07-04,35.893
2026-07-05,34.321
2026-07-06,32.835
2026-07-07,32.238
2026-07-08,30.809
2026-07-09,30.681
2026-07-10,31.02
2026-07-11,27.981
2026-07-12,25.845
2026-07-13,24.524
2026-07-14,24.141
2026-07-15,23.341
2026-07-16,23.09
2026-07-17,22.331
2026-07-18,20.809
2026-07-19,20.54
2026-07-20,24.378
2026-07-21,25.124
2026-07-22,23.159
2026-07-23,36.114
2026-07-24,32.338
2026-07-25,28.111
2026-07-26,25.81
2026-07-27,24.219
2026-07-28,23.587
NA,NA
