datetime,value,date
2026-05-15T00:00:00.000-07:00,138.367,2026-05-15
2026-05-16T00:00:00.000-07:00,123.336,2026-05-16
2026-05-17T00:00:00.000-07:00,109.071,2026-05-17
2026-05-18T00:00:00.000-07:00,103.816,2026-05-18
2026-05-19T00:00:00.000-07:00,91.434,2026-05-19
2026-05-20T00:00:00.000-07:00,84.427,2026-05-20
2026-05-21T00:00:00.000-07:00,68.769,2026-05-21
2026-05-22T00:00:00.000-07:00,69.106,2026-05-22
2026-05-23T00:00:00.000-07:00,67.312,2026-05-23
2026-05-24T00:00:00.000-07:00,61.157,2026-05-24
2026-05-25T00:00:00.000-07:00,64.442,2026-05-25
2026-05-26T00:00:00.000-07:00,79.61,2026-05-26
2026-05-27T00:00:00.000-07:00,103.472,2026-05-27
2026-05-28T00:00:00.000-07:00,119.977,2026-05-28
2026-05-29T00:00:00.000-07:00,141.681,2026-05-29
2026-05-30T00:00:00.000-07:00,162.304,2026-05-30
2026-05-31T00:00:00.000-07:00,143.827,2026-05-31
2026-06-01T00:00:00.000-07:00,115.466,2026-06-01
2026-06-02T00:00:00.000-07:00,114.443,2026-06-02
2026-06-03T00:00:00.000-07:00,117.782,2026-06-03
2026-06-04T00:00:00.000-07:00,107.549,2026-06-04
2026-06-05T00:00:00.000-07:00,100.535,2026-06-05
2026-06-06T00:00:00.000-07:00,100.384,2026-06-06
2026-06-07T00:00:00.000-07:00,92.312,2026-06-07
2026-06-08T00:00:00.000-07:00,84.947,2026-06-08
2026-06-09T00:00:00.000-07:00,75.364,2026-06-09
2026-06-10T00:00:00.000-07:00,59.422,2026-06-10
2026-06-11T00:00:00.000-07:00,49.243,2026-06-11
2026-06-12T00:00:00.000-07:00,38.283,2026-06-12
2026-06-13T00:00:00.000-07:00,31.086,2026-06-13
2026-06-14T00:00:00.000-07:00,25.004,2026-06-14
2026-06-15T00:00:00.000-07:00,19.491,2026-06-15
2026-06-16T00:00:00.000-07:00,14.697,2026-06-16
2026-06-17T00:00:00.000-07:00,11.281,2026-06-17
2026-06-18T00:00:00.000-07:00,8.704,2026-06-18
2026-06-19T00:00:00.000-07:00,6.891,2026-06-19
2026-06-20T00:00:00.000-07:00,5.904,2026-06-20
2026-06-21T00:00:00.000-07:00,5.495,2026-06-21
2026-06-22T00:00:00.000-07:00,5.225,2026-06-22
2026-06-23T00:00:00.000-07:00,4.972,2026-06-23
2026-06-24T00:00:00.000-07:00,4.87,2026-06-24
2026-06-25T00:00:00.000-07:00,5.032,2026-06-25
2026-06-26T00:00:00.000-07:00,6.135,2026-06-26
2026-06-27T00:00:00.000-07:00,4.925,2026-06-27
2026-06-28T00:00:00.000-07:00,4.696,2026-06-28
2026-06-29T00:00:00.000-07:00,4.573,2026-06-29
2026-06-30T00:00:00.000-07:00,4.574,2026-06-30
2026-07-01T00:00:00.000-07:00,4.529,2026-07-01
2026-07-02T00:00:00.000-07:00,4.436,2026-07-02
2026-07-03T00:00:00.000-07:00,4.394,2026-07-03
2026-07-04T00:00:00.000-07:00,4.355,2026-07-04
2026-07-05T00:00:00.000-07:00,4.327,2026-07-05
2026-07-06T00:00:00.000-07:00,4.342,2026-07-06
2026-07-07T00:00:00.000-07:00,4.338,2026-07-07
2026-07-08T00:00:00.000-07:00,4.345,2026-07-08
2026-07-09T00:00:00.000-07:00,14.939,2026-07-09
2026-07-10T00:00:00.000-07:00,29.443,2026-07-10
2026-07-11T00:00:00.000-07:00,26.347,2026-07-11
2026-07-12T00:00:00.000-07:00,27.796,2026-07-12
2026-07-13T00:00:00.000-07:00,28.222,2026-07-13
2026-07-14T00:00:00.000-07:00,27.634,2026-07-14
2026-07-15T00:00:00.000-07:00,26.629,2026-07-15
2026-07-16T00:00:00.000-07:00,27.204,2026-07-16
2026-07-17T00:00:00.000-07:00,29.656,2026-07-17
2026-07-18T00:00:00.000-07:00,27.735,2026-07-18
2026-07-19T00:00:00.000-07:00,27.202,2026-07-19
2026-07-20T00:00:00.000-07:00,30.302,2026-07-20
2026-07-21T00:00:00.000-07:00,32.794,2026-07-21
2026-07-22T00:00:00.000-07:00,30.603,2026-07-22
2026-07-23T00:00:00.000-07:00,34.191,2026-07-23
2026-07-24T00:00:00.000-07:00,41.955,2026-07-24
2026-07-25T00:00:00.000-07:00,31.949,2026-07-25
2026-07-26T00:00:00.000-07:00,28,2026-07-26
2026-07-27T00:00:00.000-07:00,30.08,2026-07-27
2026-07-28T00:00:00.000-07:00,29.419,2026-07-28
2026-07-29T00:00:00.000-07:00,32.303,2026-07-29
2026-07-30T00:00:00.000-07:00,35.257,2026-07-30
2026-07-31T00:00:00.000-07:00,29.569,2026-07-31
2026-08-01T00:00:00.000-07:00,25.878,2026-08-01
2026-08-02T00:00:00.000-07:00,23.577,2026-08-02
2026-08-03T00:00:00.000-07:00,22.164,2026-08-03
2026-08-04T00:00:00.000-07:00,20.992,2026-08-04
2026-08-05T00:00:00.000-07:00,20.005,2026-08-05
2026-08-06T00:00:00.000-07:00,18.563,2026-08-06
2026-08-07T00:00:00.000-07:00,17.019,2026-08-07
2026-08-08T00:00:00.000-07:00,16.392,2026-08-08
2026-08-09T00:00:00.000-07:00,16.396,2026-08-09
2026-08-10T00:00:00.000-07:00,16.919,2026-08-10
2026-08-11T00:00:00.000-07:00,16.784,2026-08-11
2026-08-12T00:00:00.000-07:00,18.915,2026-08-12
2026-08-13T00:00:00.000-07:00,29.218,2026-08-13
2026-08-14T00:00:00.000-07:00,27.296,2026-08-14
2026-08-15T00:00:00.000-07:00,22.234,2026-08-15
2026-08-16T00:00:00.000-07:00,19.722,2026-08-16
2026-08-17T00:00:00.000-07:00,18.606,2026-08-17
2026-08-18T00:00:00.000-07:00,17.814,2026-08-18
2026-08-19T00:00:00.000-07:00,20.463,2026-08-19
2026-08-20T00:00:00.000-07:00,20.132,2026-08-20
2026-08-21T00:00:00.000-07:00,17.273,2026-08-21
2026-08-22T00:00:00.000-07:00,16.316,2026-08-22
2026-08-23T00:00:00.000-07:00,17.02,2026-08-23
